,0,,,,,,,,
0,118.9892731,118.9892731,-9.9476E-13,118.9892731,0,,,,
1,-82.09368988,-82.09368988,3.97904E-13,-82.09368988,0,,,,106196.753
2,-2948.492088,-2948.492088,0,-2948.492088,0,,,,106196.753
3,-8003334.343,-8003334.343,0,-8003334.343,0,,,,
4,-708804.3619,-708804.3619,5.00586E-09,-708804.3619,0,,,,
5,-2801545.26,-2801545.26,0,-2801545.26,0,,,,
6,-3365.347984,-3365.347984,1.00044E-11,-3365.347984,0,,,,
7,-1316.928417,-1316.928417,0,-1316.928417,0,,,,
8,1333.346406,1333.346406,-1.00044E-11,1333.346406,0,,,,
9,4444094.858,4444094.858,-2.04891E-08,4444094.858,0,,,,
10,11415845.08,11415845.08,0,11415845.08,0,,,,
11,2958841.436,2958841.436,-9.77889E-09,2958841.436,0,,,,
12,-2539.815751,-2539.815751,1.00044E-11,-2539.815751,0,,,,
13,-195.417541,-195.417541,9.9476E-13,-195.417541,0,,,,
14,6977.028089,6977.028089,-1.00044E-11,6977.028089,0,,,,
15,20767581.86,20767581.86,-1.00583E-07,20767581.86,0,,,,
16,6685008.724,6685008.724,-1.02445E-08,6685008.724,0,,,,
17,1583734,1583734,-1.00117E-08,1583734,0,,,,
18,-169.4217424,-169.4217424,2.98428E-12,-169.4217424,0,,,,
19,1515.364902,1515.364902,-1.00044E-11,1515.364902,0,,,,
20,-5211.983149,-5211.983149,0,-5211.983149,0,,,,
21,-18240110.3,-18240110.3,1.00583E-07,-18240110.3,0,,,,
22,1878581.101,1878581.101,-1.00117E-08,1878581.101,0,,,,
23,-864477.2491,-864477.2491,-5.00586E-09,-864477.2491,0,,,,
24,149.4930187,79.05103896,70.44197975,149.4930187,0,,,,
25,45.2777948,-87.62626145,132.9040563,45.2777948,0,,,,
26,-153.1200927,166.7435381,-319.8636308,-153.1200927,0,,,,
27,21.91819838,99.50498869,-77.58679031,21.91819838,0,,,,
28,10.77835507,-9.93323481,20.71158988,10.77835507,0,,,,
29,4.891154579,57.61285225,-52.72169767,4.891154579,0,,,,
30,89.84180864,173.9060528,-84.06424418,89.84180864,0,,,,
31,-99.49471049,-37.30349109,-62.1912194,-99.49471049,0,,,,
32,56.30475877,70.53765413,-14.23289535,56.30475877,0,,,,
33,417.4789895,95.33537984,322.1436097,417.4789895,0,,,,
34,-106.9801024,-1.103693294,-105.8764091,-106.9801024,0,,,,
35,-122.1676682,35.66176057,-157.8294287,-122.1676682,0,,,,
36,82.38331255,154.5812834,-72.19797084,82.38331255,0,,,,
37,22.40682104,-19.81879017,42.22561121,22.40682104,0,,,,
38,14.77462151,31.02385073,-16.24922922,14.77462151,0,,,,
39,51.9795426,174.8583236,-122.878781,51.9795426,0,,,,
40,-5.2673782,98.2083876,-103.4757658,-5.2673782,0,,,,
41,-65.23078266,-34.06814974,-31.16263292,-65.23078266,0,,,,
42,79.05103896,92.1421724,-13.09113344,79.05103896,0,,,,
43,-87.62626145,26.88543721,-114.5116987,-87.62626145,0,,,,
44,166.7435381,-53.69026569,220.4338038,166.7435381,0,,,,
45,99.50498869,85.55036921,13.95461948,99.50498869,0,,,,
46,-9.93323481,33.01339473,-42.94662954,-9.93323481,0,,,,
47,57.61285225,66.03173417,-8.418881919,57.61285225,0,,,,
48,173.9060528,79.34167524,94.56437758,173.9060528,0,,,,
49,-37.30349109,13.19180412,-50.49529521,-37.30349109,0,,,,
50,70.53765413,36.48872841,34.04892572,70.53765413,0,,,,
51,95.33537984,248.74934,-153.4139602,95.33537984,0,,,,
52,-1.103693294,-54.70161715,53.59792386,-1.103693294,0,,,,
53,35.66176057,35.13495686,0.526803716,35.66176057,0,,,,
54,154.5812834,47.2353447,107.3459387,154.5812834,0,,,,
55,-19.81879017,-76.11037292,56.29158275,-19.81879017,0,,,,
56,31.02385073,200.1777871,-169.1539363,31.02385073,0,,,,
57,174.8583236,118.1289284,56.72939513,174.8583236,0,,,,
58,98.2083876,210.7091768,-112.5007892,98.2083876,0,,,,
59,-34.06814974,-143.033802,108.9656523,-34.06814974,0,,,,
60,92.1421724,-89.91917528,182.0613477,92.1421724,0,,,,
61,26.88543721,-292.7082557,319.5936929,26.88543721,0,,,,
62,-53.69026569,-343.6308251,289.9405594,-53.69026569,0,,,,
63,85.55036921,68.29654757,17.25382164,85.55036921,0,,,,
64,33.01339473,-7.002379478,40.01577421,33.01339473,0,,,,
65,66.03173417,-30.34176221,96.37349638,66.03173417,0,,,,
66,79.34167524,88.32993147,-8.988256228,79.34167524,0,,,,
67,13.19180412,1.086361014,12.1054431,13.19180412,0,,,,
68,36.48872841,30.62180182,5.86692659,36.48872841,0,,,,
69,248.74934,54.72698644,194.0223536,248.74934,0,,,,
70,-54.70161715,14.75243842,-69.45405557,-54.70161715,0,,,,
71,35.13495686,12.99653675,22.13842011,35.13495686,0,,,,
72,47.2353447,165.2366044,-118.0012597,47.2353447,0,,,,
73,-76.11037292,-39.7959526,-36.31442032,-76.11037292,0,,,,
74,200.1777871,-62.49660767,262.6743947,200.1777871,0,,,,
75,118.1289284,68.10882247,50.02010598,118.1289284,0,,,,
76,210.7091768,-128.6351819,339.3443587,210.7091768,0,,,,
77,-143.033802,148.547629,-291.581431,-143.033802,0,,,,
78,-89.91917528,180.7461116,-270.6652869,-89.91917528,0,,,,
79,-292.7082557,-53.52778382,-239.1804719,-292.7082557,0,,,,
