,0
0,4.99642134088235
1,4.634185264173663
2,-7.800999368686462
3,0.04710740937076538
4,0.0031970166350394694
5,0.03470502803990302
6,-7.233830413573685
7,0.1522789784873737
8,-5.944148272809571
9,-0.006335906859812279
10,-0.03422686310615014
11,-0.031124092052369975
12,6.109844251564709
13,12.814639265848328
14,-10.954835779696964
15,-0.08586991480883707
16,-0.03226072651685471
17,-0.021656217454383647
18,-12.312492275448022
19,28.934648835142752
20,-2.274319567843577
21,0.08366208164176603
22,-0.009251247168117094
23,0.004433095458799177
24,-0.006103676319759603
25,0.00014048046215242756
26,0.008437002288832826
27,0.006183973519242423
28,-0.0012526898551248888
29,-0.001775801685635848
30,-47.39577864785997
31,-35.49581205545701
32,-33.47940779916348
33,-26.88498892467284
34,-24.474753616057768
35,-30.025651893224563
36,-0.0027746547332822714
37,-0.0007630141319936502
38,-0.00029965140618612874
39,0.004358063695306532
40,0.0011601342178630455
41,0.005046072846512239
42,-0.00033112032281214926
43,-0.0010023387148076143
44,0.0009545251172130426
45,0.0004075315791325935
46,-6.064019586778796e-05
47,0.00029294825006866143
48,9.842175854185911e-05
49,-4.947890028104453e-05
50,0.00018311152697331884
51,0.00015375429291710277
52,7.980917467257666e-05
53,-0.00021032182670839734
54,-0.0004519552817065023
55,0.00024405198976912637
56,-0.0006536533376700123
57,0.0015097773771273314
58,1.9699980573932574e-05
59,-0.001301729314919963
60,1.0996075157485366e-05
61,-0.00013293700256140212
62,-0.000573258517356982
63,-0.0003002034829708601
64,-7.278617289461359e-05
65,-0.0005190139596701997
66,-0.0003389346654086578
67,-6.123760968807651e-05
68,-0.0003471157299891059
69,-0.0005191288898088939
70,0.0004850921794721276
71,-0.0008514367460359974
72,-5.337694616949079e-05
73,-0.00046682963598598456
74,0.0003830314656969834
75,7.528270760226961e-05
76,-0.00036847312910000957
77,-1.5964748693617775e-05
78,0.0016941525069653143
79,0.0016688544578033447
80,0.0006622607810700815
81,-0.000497494090709788
82,-0.000270021683789215
83,-0.000510876306949716
84,0.00016988852846799504
85,9.552564575901088e-05
86,-0.0002945280250930011
87,-0.0001343248004910709
88,9.278579006108921e-05
89,5.637789397226409e-05
90,-0.0010316419733054204
91,-8.23177998308727e-05
92,-0.0005415036616038277
93,4.128427463784279e-05
94,-0.000650166604138561
95,0.0010417053003089708
96,0.00037388618643395197
97,-0.00043285234280802595
98,0.0008506544855957192
99,0.00040105745652286966
100,-5.6700765396556704e-05
101,-0.00010187339204242689
102,-5.530282669575712e-05
103,-0.0002596805506306678
104,0.0003583149622065594
105,0.00025405269788731245
106,0.00013602898264119395
107,-0.0006448817626762606
108,0.0003638429111968251
109,0.000258362608574942
110,-0.0006179199267526032
111,-0.0001978522135238723
112,-0.00018825420230860705
113,-1.8670330053961737e-05
114,0.0003497631895350989
115,0.00044258463099943954
116,-0.0007892923387317341
117,-0.00020472419138586103
118,-0.00016407979405199703
119,-0.0006207636684414401
120,-0.00020399116370692968
121,-0.00012589988495215546
122,-0.0002630236592633811
123,-4.671428561612689e-05
124,-2.7278636699148637e-05
125,-0.00015318455279673612
126,0.0006511049599843208
127,0.0004181920240433571
128,-0.0007618519193100769
129,0.00012730409203711227
130,1.0992116297255388e-05
131,-8.004150544169836e-05
132,-0.00038348899528381497
133,0.000717119361230905
134,-0.0021165499848505714
135,-0.0003987443757024131
136,0.00044642926446238247
137,-0.0003263184983177802
138,-0.00045865476580935654
139,1.030727911109381e-05
140,-0.00026977350842369643
141,0.29704329501366544
142,4.214725933707541
143,-3.880532875693973
144,-0.00022557710791669058
145,-3.2306191144970686e-05
146,-0.0006551653389345793
147,-0.0012656544375857712
148,-0.0002557111752785786
149,-0.0011907562424923399
150,-8.373957356554856e-05
151,1.3719674111088709e-05
152,-0.0004825449414815053
153,-0.0007978925527047393
154,-2.8985540543094695e-05
155,-0.00037506288678355545
156,-0.0003765728947147211
157,0.00015029194228276341
158,0.00014214392958457334
159,0.001358104203452913
160,0.001083259911511241
161,0.0006460634347306565
162,1.0169552078960322
163,1.013558697844445
164,-2.245503654945246
165,0.00012102930357526381
166,-4.7730161177851615e-05
167,-0.0003906485120477275
168,-0.00016504408723728298
169,-0.00011945724047954243
170,-0.00044305039601890556
171,-3.7229911339291846
172,-5.191245042334458
173,0.35289103567394875
174,-0.0008595151806148451
175,-0.0004036098024128021
176,-0.0002812035601187854
177,-0.0004432911572245582
178,-0.000298243969443307
179,-0.0005767800912715934
