,0
0,8.643283423258278e+104
1,-2.311103850647511e+105
2,-9.928203363959657e+104
3,-9.035697252666237e+87
4,2.761058121629784e+87
5,-4.7249721604623895e+87
6,2.44884509977526e+103
7,-1.1418278582291233e+103
8,-2.4320773661634917e+103
9,-5.610443956709071e+87
10,-3.8292371080766193e+87
11,-1.0777740208544913e+87
12,-1.7351932475899467e+102
13,-9.58615548158497e+102
14,4.905783210690235e+102
15,-7.28913179122753e+87
16,3.9483670320750084e+87
17,-2.055538966712127e+87
18,5.02694460655667e+97
19,5.6845505830973376e+97
20,-1.353168013477156e+98
21,2.4401859676393254e+85
22,4.7595749571021446e+84
23,-2.3896765413924247e+85
24,-1.181117652998615e+103
25,-9.280448291801252e+103
26,3.1578889824852213e+103
27,3.499327844490711e+104
28,1.5757478154549403e+104
29,-5.3900734986825995e+104
30,5.659776482220905e+103
31,8.342864645798311e+103
32,7.697785579665945e+102
33,3.754117392803079e+103
34,1.9936434773664815e+103
35,-5.781678537859325e+103
36,4.5436271800475814e+103
37,4.2314274327175645e+104
38,-1.3054711502752493e+104
39,1.5382046879422525e+104
40,1.535160059390531e+104
41,-2.5788560038400812e+104
42,-2.2942647326552963e+69
43,-5.9742837047281615e+68
44,6.307484473768725e+68
45,3.8008004343174804e+68
46,-2.0371860809212296e+67
47,7.968070684359342e+67
48,8.309094058350607e+68
49,1.0087962864625508e+69
50,7.811790403867842e+68
51,9.276147699846321e+68
52,-5.263171620560323e+66
53,-1.5981619572246763e+68
54,1.4861642487132855e+69
55,8.993341172209339e+68
56,3.7887042619059576e+68
57,-1.8705279439710575e+69
58,-1.0633790307518648e+68
59,-7.217579535718871e+68
60,-8.154343593108393e+68
61,2.8900152614909115e+68
62,-6.564508047064108e+68
63,1.6285951515102656e+68
64,-2.7328199101932447e+68
65,-1.1081907641604427e+68
66,9.629123335672595e+68
67,-2.527290521860592e+68
68,-4.274654581463114e+68
69,1.7256785777128996e+69
70,1.6153664828231843e+69
71,9.115505514274798e+68
72,-3.0001505727372136e+69
73,-1.016286081523198e+69
74,5.910905602206261e+68
75,-2.1780062995099926e+69
76,1.1144822992150778e+68
77,-1.0643747376405652e+69
78,-9.970815559884942e+67
79,-1.7611398134985354e+68
80,1.2707826860115588e+68
81,1.9845616818154167e+69
82,4.0248480033169927e+67
83,-6.372504086300824e+68
84,1.0235832719424685e+69
85,-1.3140579800467806e+68
86,-3.145383321763068e+68
87,1.0565988265342322e+67
88,-1.2226193074969894e+67
89,-1.7708297793828685e+67
90,4.767149958852908e+66
91,3.372060273630881e+66
92,1.7535796308757326e+67
93,2.231908214251384e+69
94,8.884382827304311e+68
95,8.659360290459991e+67
96,5.114541726340486e+68
97,1.0395745993863052e+69
98,9.556779979986824e+68
99,-3.548165184294424e+69
100,-1.2298052317470255e+69
101,6.142911265230857e+68
102,-1.306710219168103e+69
103,-3.8896014278971077e+68
104,4.191965641768915e+68
105,-2.0680984375718756e+69
106,1.9116274527108762e+68
107,-1.0989530386332914e+69
108,-3.211796523418367e+69
109,-1.2046813380950052e+69
110,4.867893544181169e+68
111,-5.1280734823780425e+68
112,-2.760177293914244e+68
113,1.965974753442049e+68
114,-7.47273152591014e+68
115,-4.412778103385061e+68
116,1.2065864966650196e+68
117,-1.738796713444341e+69
118,-7.983711478932628e+68
119,2.4118537049974893e+68
120,-2.010617302464661e+68
121,-2.65200000122416e+68
122,6.667981011840268e+67
123,2.0860227644932992e+68
124,-2.253505421344863e+68
125,-5.627203344567545e+67
126,-5.941292161336366e+68
127,-3.7194028921493274e+68
128,1.158068019867366e+68
129,-4.790440586022795e+68
130,-1.3404307466013232e+69
131,7.383790222067013e+66
132,5.900229913719919e+68
133,4.745027468908696e+68
134,4.1847614786992753e+68
135,1.8712714545808154e+69
136,2.1115686162181154e+69
137,1.2961443167788653e+69
138,4.187221301685876e+66
139,5.466502170255758e+65
140,8.475083719056296e+66
141,1.4572504869926669e+69
142,-9.38074078191541e+67
143,-4.846357238556968e+68
144,1.7981539779961683e+69
145,1.0802742439113758e+68
146,-4.695103498327594e+68
147,1.1192064719363726e+66
148,1.0364136958394915e+67
149,3.161197983472236e+67
150,1.8303358453408106e+69
151,-7.4917078749251e+67
152,-6.469341760023277e+68
153,6.312073343171499e+66
154,7.496705178271094e+65
155,1.2546681167115795e+67
156,1.0679344363786847e+67
157,-1.0096357236354875e+67
158,-1.1409699337908447e+67
159,-1.1474063623477436e+68
160,-1.6975764236438181e+68
161,1.1559579267701623e+68
162,-1.1690286925643199e+69
163,1.7393706176249076e+68
164,-6.970861283884827e+68
165,-1.0413418485078843e+69
166,-3.64592671335217e+68
167,3.1981914543008494e+68
168,1.22728982669756e+69
169,3.4959189837957346e+68
170,-1.8809841071260378e+67
171,8.923664506828161e+68
172,-5.681185462560891e+67
173,-2.3208736351000535e+68
174,2.7705285137984645e+69
175,6.125507081660097e+68
176,-4.59709481416012e+68
177,2.079907146085924e+69
178,-2.5119677117666575e+67
179,-7.456733833791526e+68
