,point_id,image_id,x,y,unique_id,knowns
11,A5,8,3905.815,1195.981,A58,n
9,89,8,1997.248,2964.144,898,u
5,85,8,2452.265,2987.177,858,u
2,24,8,2245.988,1155.072,248,u
27,B9,8,2412.264,2443.15,B98,n
72,BVS5,8,3159.736,2690.962,BVS58,n
53,AS10,8,3550.641,1343.432,AS108,n
76,BVS6,8,3109.943,2469.033,BVS68,n
87,AVS57,8,3596.986,564.895,AVS578,n
96,AVS65,8,3228.741,39.752,AVS658,n
83,AVS51,8,3386.806,1418.954,AVS518,n
159,AVS117,8,1385.033,1713.921,AVS1178,n
90,AVS58,8,3203.948,1217.523,AVS588,n
93,AVS59,8,2984.467,1580.282,AVS598,n
66,BS11,9,2283.995,1875.716,BS119,n
20,B2,9,2953.337,2411.034,B29,n
91,AVS58,9,3258.459,892.598,AVS589,n
147,AVS106,9,1307.653,627.466,AVS1069,n
16,B1,9,2855.067,1939.041,B19,n
12,A5,9,3992.341,869.57,A59,n
106,AVS71,9,2648.849,1578.598,AVS719,n
94,AVS59,9,3034.531,1385.37,AVS599,n
154,AVS108,9,1485.35,1202.485,AVS1089,n
6,85,9,2472.275,2963.369,859,u
157,AVS116,9,1183.873,1201.147,AVS1169,n
103,AVS70,9,2690.247,1389.325,AVS709,n
150,AVS107,9,1422.843,952.287,AVS1079,n
24,B8,9,2418.802,1937.063,B89,n
28,B9,9,2428.22,2370.851,B99,n
73,BVS5,9,3262.982,2651.954,BVS59,n
124,BVS36,9,1959.508,1874.321,BVS369,n
62,AS32,9,1416.649,1492.048,AS329,n
118,BVS16,9,2781.814,2966.655,BVS169,n
77,BVS6,9,3197.319,2413.635,BVS69,n
128,BVS37,9,1810.993,1963.9,BVS379,n
54,AS10,9,3623.124,1070.16,AS109,n
110,AVS91,9,2148.752,1742.577,AVS919,n
100,AVS69,9,2755.83,1177.614,AVS699,n
81,AVS50,9,3630.623,892.916,AVS509,n
134,BVS42,9,1692.314,1870.319,BVS429,n
46,A35,9,1815.903,1572.524,A359,n
114,BVS10,9,2900.112,2162.014,BVS109,n
42,A34,9,1745.3,1202.761,A349,n
84,AVS51,9,3454.548,1168.442,AVS519,n
50,BS8,9,2618.826,2726.341,BS89,n
160,AVS117,9,1361.321,1552.145,AVS1179,n
